Code BBUSD1M BBUSD2M BBUSD3M BBUSD4M BBUSD5M BBUSD6M BBUSD7M BBUSD8M BBUSD9M BBUSD10 BBUSD11 BBUSD12
Currency U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$
31-03-94 3.68750 3.81250 3.93750 4.06250 4.18750 4.25000 4.31250 4.37500 4.50000 4.56250 4.63281 4.75000
29-04-94 4.00000 4.18750 4.31250 4.43750 4.57031 4.68750 4.81250 4.97656 5.06250 5.18750 5.25000 5.31250
31-05-94 4.37500 4.50000 4.62500 4.75000 4.87500 5.00000 5.15625 5.25000 5.31250 5.43750 5.50000 5.56250
30-06-94 4.56250 4.75000 4.87500 4.96875 5.09375 5.25000 5.33594 5.45313 5.56250 5.67188 5.75000 5.81250
29-07-94 4.50000 4.75000 4.87500 5.00000 5.25000 5.31250 5.37500 5.50000 5.56250 5.66406 5.75000 5.81250
31-08-94 4.87500 4.93750 5.00000 5.18750 5.25000 5.31250 5.41406 5.50000 5.56250 5.68750 5.75000 5.81250
30-09-94 5.05469 5.18750 5.50000 5.57031 5.68750 5.75000 5.81250 5.92188 6.00000 6.12500 6.18750 6.31250
31-10-94 5.06250 5.56250 5.62500 5.68750 5.81250 5.93750 6.00000 6.12500 6.22656 6.31250 6.43750 6.50000
30-11-94 6.06250 6.06250 6.18750 6.31250 6.43750 6.56250 6.68750 6.81250 6.93750 7.06250 7.16406 7.25000
30-12-94 6.00000 6.25000 6.50000 6.68750 6.81250 7.00000 7.12500 7.25000 7.37500 7.50000 7.62500 7.75000
31-01-95 6.09375 6.18750 6.31250 6.43750 6.56250 6.68750 6.78125 6.87500 6.93750 7.06250 7.18750 7.25000
28-02-95 6.12500 6.18750 6.25000 6.31250 6.37500 6.43750 6.43750 6.50000 6.56250 6.62500 6.68750 6.75000
31-03-95 6.12500 6.18750 6.25000 6.31250 6.40625 6.50000 6.53125 6.56250 6.62500 6.68750 6.75000 6.81250
